Date,Open,High,Low,Close,Volume
2025-10-28,12813.755558721208,12863.001352567178,12675.867335952495,12828.529296875,2209900
2025-10-29,12779.283579335515,12976.2667558956,12705.414888125484,12744.8115234375,2914800
2025-10-30,12656.16969267404,12749.736705966183,12459.186506795846,12715.2646484375,4178000
2025-10-31,12798.982718324789,12922.097211575316,12715.264862914431,12848.228515625,3719900
2025-11-04,12882.699974652374,13040.28651868482,12705.415112615874,12749.736328125,5475200
2025-11-05,13788.822727272727,14049.825443181819,13325.91225,13542.59375,15706300
2025-11-06,14222.186095910138,14409.320123487903,13734.652708273328,13892.2392578125,11096000
2025-11-07,13862.691565674442,13892.239043256697,13394.85650395541,13695.255859375,5368400
2025-11-10,13631.235964279062,13650.934282146516,13168.325494393861,13217.5712890625,4114800
2025-11-11,13424.403621207079,13547.518107828566,13330.836611374747,13409.6298828125,3720400
2025-11-12,13409.630317465453,13675.5576171875,13365.309100845112,13675.5576171875,3545300
2025-11-13,13769.124489743414,13774.049069317714,13399.781021670899,13458.8759765625,3633400
2025-11-14,13188.023961190267,13350.53508543197,13178.174802145315,13242.1943359375,2970800
2025-11-17,13296.365013321389,13316.063331859643,13109.230987207977,13227.4208984375,1849400
2025-11-18,13050.13544256037,13178.17450727983,12912.247219016335,13000.8896484375,2971500
2025-11-19,12917.17195257039,13010.738962520387,12754.660830025663,12833.4541015625,3496500
2025-11-20,13079.683368644068,13178.174960275424,12927.021401615466,13074.7587890625,2756500
2025-11-21,13000.89024318609,13227.420906514333,12971.342765360667,13099.3818359375,4415900
2025-11-25,13084.607804089059,13094.456963143699,12828.529668668421,12922.0966796875,3185700
2025-11-26,12872.851176597327,13094.457260356654,12818.68080056727,13035.3623046875,2708400
2025-11-27,13020.588569843869,13143.70306085979,12936.870715953042,12971.3427734375,1719100
2025-11-28,13045.21153608575,13232.345563405968,13005.814898755178,13079.68359375,2624100
2025-12-01,13000.890409730195,13143.703221049202,12779.284323200704,12867.9267578125,2522400
2025-12-02,12764.510372133695,12966.418136507724,12641.395881661727,12670.943359375,2587200
2025-12-03,12518.281705291882,12631.547039368086,12390.242631988345,12464.111328125,3002900
2025-12-04,12513.356292096481,12749.736103989684,12464.110497952062,12680.7919921875,2564600
2025-12-05,12385.3179140625,12454.2620296875,12198.1838859375,12311.44921875,3770100
2025-12-08,12198.183596920659,12257.278551770496,12114.46574421672,12134.1640625,2749400
2025-12-09,12015.973788734243,12045.521265263918,11681.1023880646,11720.4990234375,5772400
2025-12-10,11503.8177623057,11641.70598890868,11168.94635484132,11405.326171875,8597400
2025-12-11,10942.415410841557,11341.306341659814,10932.566252055922,11228.041015625,8791400
2025-12-12,11336.381979133366,11562.912635536552,11326.532820159315,11553.0634765625,7506300
2025-12-15,11444.72288732873,11474.270364662625,11287.136341547955,11321.6083984375,5293600
2025-12-16,11198.494217201267,11390.55282514799,11149.248420291851,11178.7958984375,4089700
2025-12-17,11109.851946835866,11267.438499273256,10932.567075343806,11011.3603515625,4673800
2025-12-18,10834.075497126763,10863.622975755292,10642.016886041334,10819.3017578125,5349400
2025-12-19,10755.281789172535,10770.055527893926,10479.505333039906,10489.3544921875,7107100
2025-12-22,10489.354825334005,10513.977723985023,10090.4638671875,10090.4638671875,10226600
2025-12-23,10297.295671362339,10469.655952805517,10179.105764087019,10356.390625,10389100
2025-12-24,10568.147853527791,10582.921592372424,10243.125598945855,10277.59765625,5652200
2025-12-25,10430.259919283175,10469.65655731635,10316.994584937796,10390.86328125,3387100
2025-12-26,10474.58045038574,10784.828954557956,10435.1838149353,10632.1669921875,6623300
2025-12-29,10637.092026012571,10676.48866314595,10469.656318195706,10577.9970703125,4355700
2025-12-30,10656.790660762743,10681.413559701658,10400.712511798018,10435.1845703125,3616600
2026-01-05,10715.88515258216,10725.734311729753,10371.164582416373,10489.3544921875,6948100
2026-01-06,10479.505764912483,10701.111854865989,10390.86332893108,10691.2626953125,6142800
2026-01-07,10558.298777173914,10568.147936480978,10120.01118800951,10193.8798828125,8142200
2026-01-08,10179.106307653641,10208.653786050312,10016.595176471943,10026.4443359375,5601800
2026-01-09,9854.083381048635,10124.93524809395,9840.29455872633,10011.669921875,7163800
2026-01-13,9967.348786903267,10021.519160745132,9678.768431709328,9799.9130859375,15672900
2026-01-14,9947.650908528009,10075.689979627874,9898.405111951137,10065.8408203125,8035600
2026-01-15,10302.220252691388,10499.20343151914,10272.672775867226,10292.37109375,9129900
2026-01-16,10489.35449868554,10489.35449868554,10282.522156457937,10361.3154296875,5990100
2026-01-19,10233.276357500295,10484.429915841256,10193.879720897792,10425.3349609375,4169500
2026-01-20,10430.259090586105,10430.259090586105,10257.898812885202,10287.4462890625,3809400
2026-01-21,10144.63424952419,10188.955467119198,9952.575639945819,10026.4443359375,5926200
2026-01-22,10095.387852347676,10110.161590668185,9799.9130859375,9799.9130859375,10837100
2026-01-23,10243.125,10484.42938701923,10046.141826923076,10243.125,11170200
2026-01-26,10381.013905349857,10415.485962910316,10100.312865214684,10257.8994140625,6447400
2026-01-27,10385.93864034262,10405.636959243222,10095.388436558735,10218.5029296875,4938600
2026-01-28,10046.141977680767,10051.06655708159,9913.178333858523,10011.669921875,4542200
2026-01-29,9878.706873324376,9898.405192114653,9763.47170840125,9781.2001953125,7699400
2026-01-30,9849.158728555445,10070.764799947943,9820.596168242635,9903.3291015625,6586700
2026-02-02,9652.175941856502,9828.475890182248,9625.583212220774,9749.6826171875,10491700
2026-02-03,9834.385139102027,10041.217475527808,9740.818129766556,9927.9521484375,9984500
2026-02-04,9041.527982384654,9124.260918171181,8673.169434954169,8837.650390625,33990500
2026-02-05,8717.490445655887,8788.404388948986,8573.692727311547,8649.53125,20690900
2026-02-06,8421.030633820415,8487.019996681933,8200.409480372957,8313.6748046875,21426900
2026-02-09,8519.522805699464,8583.54234123362,8408.227305463159,8531.341796875,13828100
2026-02-10,8716.505557548293,8918.413313401106,8657.410604615761,8795.298828125,13772100
2026-02-12,8795.299454300492,8807.118445728443,8434.820215747975,8509.673828125,17104500
2026-02-13,8411.181874532185,8538.236026969498,8224.0478515625,8224.0478515625,13507500
2026-02-16,8371.785399899396,8621.954045966979,8321.5546875,8321.5546875,11125200
2026-02-17,8316.630261289987,8389.514041410244,8229.957657903735,8282.158203125,6968300
2026-02-18,8371.784840981793,8505.7333984375,8303.825646390293,8505.7333984375,6985500
2026-02-19,8599.300375009972,8646.576336297394,8409.21161400013,8488.0048828125,7414300
2026-02-20,8549.06983303249,8554.97932830878,8381.634133537615,8457.47265625,6393300
2026-02-24,8460.427872952889,8595.361355909181,8388.529009771799,8412.1669921875,8333200
2026-02-25,8363.906068313954,8416.106612546248,8285.112794001057,8385.57421875,6796600
2026-02-26,8476.185981896317,8736.203771719769,8428.910020110236,8605.2099609375,10330700
2026-02-27,8856.363611728737,8959.7797793479,8720.445220000694,8859.318359375,20124000
